pokedex_number,name,status,species,height,weight,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,generation,type_number,type_1,type_2,egg_type_number,egg_type_1,egg_type_2
8,Wartortle,Normal,Turtle Pokémon,0.99,22.5,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45.0,70.0,142.0,Medium Slow,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,Water,,2,Monster,Water 1
9,Blastoise,Normal,Shellfish Pokémon,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45.0,70.0,239.0,Medium Slow,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,Water,,2,Monster,Water 1
9,Mega Blastoise,Normal,Shellfish Pokémon,1.6,101.1,1,Mega Launcher,,,630,79,103,120,135,115,78,45.0,70.0,284.0,Medium Slow,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,Water,,2,Monster,Water 1
10,Caterpie,Normal,Worm Pokémon,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255.0,70.0,39.0,Medium Fast,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1,Bug,,1,Bug,
11,Metapod,Normal,Cocoon Pokémon,0.71,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,120.0,70.0,72.0,Medium Fast,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1,Bug,,1,Bug,
12,Butterfree,Normal,Butterfly Pokémon,1.09,32.0,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45.0,70.0,178.0,Medium Fast,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1,2,Bug,Flying,1,Bug,
13,Weedle,Normal,Hairy Bug Pokémon,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255.0,70.0,39.0,Medium Fast,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1,2,Bug,Poison,1,Bug,
14,Kakuna,Normal,Cocoon Pokémon,0.61,10.0,1,Shed Skin,,,205,45,25,50,25,25,35,120.0,70.0,72.0,Medium Fast,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1,2,Bug,Poison,1,Bug,
15,Beedrill,Normal,Poison Bee Pokémon,0.99,29.5,2,Swarm,,Sniper,395,65,90,40,45,80,75,45.0,70.0,178.0,Medium Fast,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1,2,Bug,Poison,1,Bug,
15,Mega Beedrill,Normal,Poison Bee Pokémon,1.4,40.5,1,Adaptability,,,495,65,150,40,15,80,145,45.0,70.0,223.0,Medium Fast,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1,2,Bug,Poison,1,Bug,
16,Pidgey,Normal,Tiny Bird Pokémon,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255.0,70.0,50.0,Medium Slow,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1,2,Normal,Flying,1,Flying,
17,Pidgeotto,Normal,Bird Pokémon,1.09,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120.0,70.0,122.0,Medium Slow,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1,2,Normal,Flying,1,Flying,
18,Pidgeot,Normal,Bird Pokémon,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45.0,70.0,216.0,Medium Slow,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1,2,Normal,Flying,1,Flying,
18,Mega Pidgeot,Normal,Bird Pokémon,2.21,50.5,1,No Guard,,,579,83,80,80,135,80,121,45.0,70.0,261.0,Medium Slow,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1,2,Normal,Flying,1,Flying,
19,Rattata,Normal,Mouse Pokémon,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,Normal,,1,Field,
19,Alolan Rattata,Normal,Mouse Pokémon,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,1,2,Dark,Normal,1,Field,
20,Raticate,Normal,Mouse Pokémon,0.71,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127.0,70.0,145.0,Medium Fast,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,Normal,,1,Field,
20,Alolan Raticate,Normal,Mouse Pokémon,0.71,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127.0,70.0,145.0,Medium Fast,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,1,2,Dark,Normal,1,Field,
21,Spearow,Normal,Tiny Bird Pokémon,0.3,2.0,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255.0,70.0,52.0,Medium Fast,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1,2,Normal,Flying,1,Flying,
22,Fearow,Normal,Beak Pokémon,1.19,38.0,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90.0,70.0,155.0,Medium Fast,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1,2,Normal,Flying,1,Flying,
23,Ekans,Normal,Snake Pokémon,2.01,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255.0,70.0,58.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1,1,Poison,,2,Dragon,Field
24,Arbok,Normal,Cobra Pokémon,3.51,65.0,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90.0,70.0,157.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1,1,Poison,,2,Dragon,Field
25,Pikachu,Normal,Mouse Pokémon,0.41,6.0,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190.0,70.0,112.0,Medium Fast,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,Electric,,2,Fairy,Field
25,Partner Pikachu,Normal,Mouse Pokémon,0.41,6.0,1,,,Lightning Rod,430,45,80,50,75,60,120,190.0,70.0,112.0,Medium Fast,50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,Electric,,0,,
26,Raichu,Normal,Mouse Pokémon,0.79,30.0,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75.0,70.0,218.0,Medium Fast,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,Electric,,2,Fairy,Field
26,Alolan Raichu,Normal,Mouse Pokémon,0.71,21.0,1,Surge Surfer,,,485,60,85,50,95,85,110,75.0,70.0,218.0,Medium Fast,50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,2,Electric,Psychic,2,Fairy,Field
27,Sandshrew,Normal,Mouse Pokémon,0.61,12.0,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255.0,70.0,60.0,Medium Fast,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1,1,Ground,,1,Field,
27,Alolan Sandshrew,Normal,Mouse Pokémon,0.71,40.0,2,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,255.0,70.0,60.0,Medium Fast,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1,2,Ice,Steel,1,Field,
28,Sandslash,Normal,Mouse Pokémon,0.99,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90.0,70.0,158.0,Medium Fast,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1,1,Ground,,1,Field,
28,Alolan Sandslash,Normal,Mouse Pokémon,1.19,55.0,2,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,90.0,70.0,158.0,Medium Fast,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1,2,Ice,Steel,1,Field,
29,Nidoran♀,Normal,Poison Pin Pokémon,0.41,7.0,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235.0,70.0,55.0,Medium Slow,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1,1,Poison,,2,Field,Monster
30,Nidorina,Normal,Poison Pin Pokémon,0.79,20.0,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120.0,70.0,128.0,Medium Slow,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1,1,Poison,,1,Undiscovered,
31,Nidoqueen,Normal,Drill Pokémon,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45.0,70.0,227.0,Medium Slow,0.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1,2,Poison,Ground,1,Undiscovered,
32,Nidoran♂,Normal,Poison Pin Pokémon,0.51,9.0,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235.0,70.0,55.0,Medium Slow,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1,1,Poison,,2,Field,Monster
33,Nidorino,Normal,Poison Pin Pokémon,0.89,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120.0,70.0,128.0,Medium Slow,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1,1,Poison,,2,Field,Monster
34,Nidoking,Normal,Drill Pokémon,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45.0,70.0,227.0,Medium Slow,100.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1,2,Poison,Ground,2,Field,Monster
35,Clefairy,Normal,Fairy Pokémon,0.61,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150.0,140.0,113.0,Fast,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,1,1,Fairy,,1,Fairy,
36,Clefable,Normal,Fairy Pokémon,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25.0,140.0,217.0,Fast,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,1,1,Fairy,,1,Fairy,
37,Vulpix,Normal,Fox Pokémon,0.61,9.9,2,Flash Fire,,Drought,299,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1,1,Fire,,1,Field,
37,Alolan Vulpix,Normal,Fox Pokémon,0.61,9.9,2,Snow Cloak,,Snow Warning,299,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1,1,Ice,,1,Field,
38,Ninetales,Normal,Fox Pokémon,1.09,19.9,2,Flash Fire,,Drought,505,73,76,75,81,100,100,75.0,70.0,177.0,Medium Fast,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1,1,Fire,,1,Field,
38,Alolan Ninetales,Normal,Fox Pokémon,1.09,19.9,2,Snow Cloak,,Snow Warning,505,73,67,75,81,100,109,75.0,70.0,177.0,Medium Fast,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1,2,Ice,Fairy,1,Field,
39,Jigglypuff,Normal,Balloon Pokémon,0.51,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170.0,70.0,95.0,Fast,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,1,2,Normal,Fairy,1,Fairy,
40,Wigglytuff,Normal,Balloon Pokémon,0.99,12.0,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50.0,70.0,196.0,Fast,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,1,2,Normal,Fairy,1,Fairy,
41,Zubat,Normal,Bat Pokémon,0.79,7.5,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255.0,70.0,49.0,Medium Fast,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,1,2,Poison,Flying,1,Flying,
42,Golbat,Normal,Bat Pokémon,1.6,55.0,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90.0,70.0,159.0,Medium Fast,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,1,2,Poison,Flying,1,Flying,
43,Oddish,Normal,Weed Pokémon,0.51,5.4,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255.0,70.0,64.0,Medium Slow,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,2,Grass,Poison,1,Grass,
44,Gloom,Normal,Weed Pokémon,0.79,8.6,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,120.0,70.0,138.0,Medium Slow,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,2,Grass,Poison,1,Grass,
45,Vileplume,Normal,Flower Pokémon,1.19,18.6,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45.0,70.0,221.0,Medium Slow,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,2,Grass,Poison,1,Grass,
46,Paras,Normal,Mushroom Pokémon,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190.0,70.0,57.0,Medium Fast,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,2,Bug,Grass,2,Bug,Grass
47,Parasect,Normal,Mushroom Pokémon,0.99,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75.0,70.0,142.0,Medium Fast,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,2,Bug,Grass,2,Bug,Grass
48,Venonat,Normal,Insect Pokémon,0.99,30.0,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190.0,70.0,61.0,Medium Fast,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1,2,Bug,Poison,1,Bug,
49,Venomoth,Normal,Poison Moth Pokémon,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75.0,70.0,158.0,Medium Fast,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1,2,Bug,Poison,1,Bug,
50,Diglett,Normal,Mole Pokémon,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255.0,70.0,53.0,Medium Fast,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1,1,Ground,,1,Field,
50,Alolan Diglett,Normal,Mole Pokémon,0.2,1.0,3,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90,255.0,70.0,53.0,Medium Fast,50.0,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,1,2,Ground,Steel,1,Field,
51,Dugtrio,Normal,Mole Pokémon,0.71,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50.0,70.0,149.0,Medium Fast,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1,1,Ground,,1,Field,
51,Alolan Dugtrio,Normal,Mole Pokémon,0.71,66.6,3,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110,50.0,70.0,149.0,Medium Fast,50.0,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,1,2,Ground,Steel,1,Field,
52,Meowth,Normal,Scratch Cat Pokémon,0.41,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255.0,70.0,58.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,Normal,,1,Field,
52,Alolan Meowth,Normal,Scratch Cat Pokémon,0.41,4.2,3,Pickup,Technician,Rattled,290,40,35,35,50,40,90,255.0,70.0,58.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1,1,Dark,,1,Field,
52,Galarian Meowth,Normal,Scratch Cat Pokémon,0.41,7.5,3,Pickup,Tough Claws,Unnerve,290,50,65,55,40,40,40,,,,Medium Fast,,20.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1,1,Steel,,1,Field,
53,Persian,Normal,Classy Cat Pokémon,0.99,32.0,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90.0,70.0,154.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,Normal,,1,Field,
53,Alolan Persian,Normal,Classy Cat Pokémon,1.09,33.0,3,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115,90.0,70.0,154.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1,1,Dark,,1,Field,
54,Psyduck,Normal,Duck Pokémon,0.79,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190.0,70.0,64.0,Medium Fast,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,Water,,2,Field,Water 1
55,Golduck,Normal,Duck Pokémon,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,75.0,70.0,175.0,Medium Fast,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,Water,,2,Field,Water 1
56,Mankey,Normal,Pig Monkey Pokémon,0.51,28.0,3,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,190.0,70.0,61.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1,1,Fighting,,1,Field,
